17-34, Private, School, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Handlers-cleaners, White, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Female,0-19, <=50K,,,,
17-34, Local-gov, Some-college, Protective-serv, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, Black, Female,40-59, <=50K,,,,
35-49, Local-gov, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Sales, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
50-65, Private, Some-college, Sales, White, Female,20-39, <=50K,,,,
35-49, Private, School, Transport-moving, Black, Male,40-59, >50K,,,,
17-34, Private, School, Sales, White, Male,20-39, <=50K,,,,
17-34, Private, School, Other-service, White, Male,0-19, <=50K,,,,
17-34, Private, School, Transport-moving, White, Male,0-19, <=50K,,,,
35-49, Private, School, Machine-op-inspct, Asian-Pac-Islander, Female,40-59, <=50K,,,,
50-65, Self-emp-not-inc, School, Other-service, White, Female,60-79, >50K,,,,
35-49, Private, School, Other-service, White, Female,0-19, <=50K,,,,
17-34, Private, School, Craft-repair, White, Female,40-59, <=50K,,,,
17-34, Private, School, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Female,0-19, <=50K,,,,
17-34, Private, School, Adm-clerical, White, Female,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, School, Farming-fishing, White, Male,40-59, <=50K,,,,
50-65, Private, School, Handlers-cleaners, White, Female,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Female,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Female,20-39, <=50K,,,,
35-49, Private, School, Farming-fishing, White, Male,60-79, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
50-65, Private, School, Other-service, White, Female,20-39, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Other-service, Asian-Pac-Islander, Female,40-59, <=50K,,,,
50-65, Self-emp-not-inc, School, Farming-fishing, White, Male,60-79, <=50K,,,,
50-65, Self-emp-not-inc, School, Other-service, White, Male,0-19, <=50K,,,,
35-49, Private, School, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Farming-fishing, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Male,60-79, <=50K,,,,
17-34, Private, School, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, Assoc-voc, Farming-fishing, White, Male,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Craft-repair, White, Male,40-59, >50K,,,,
50-65, Private, Assoc-voc, Adm-clerical, White, Female,0-19, <=50K,,,,
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K,,,,
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K,,,,
35-49, Local-gov, Bachelors, Protective-serv, Black, Male,40-59, >50K,,,,
35-49, Federal-gov, Bachelors, Exec-managerial, Black, Male,40-59, <=50K,,,,
35-49, Private, Bachelors, Exec-managerial, Black, Male,40-59, >50K,,,,
35-49, Self-emp-inc, Doctorate, Prof-specialty, White, Male,60-79, <=50K,,,,
17-34, Private, Doctorate, Prof-specialty, White, Female,60-79, >50K,,,,
17-34, Self-emp-not-inc, Doctorate, Prof-specialty, White, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, >50K,,,,
50-65, Self-emp-not-inc, HS-grad, Farming-fishing, Asian-Pac-Islander, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,20-39, >50K,,,,
35-49, Private, HS-grad, Transport-moving, White, Male,80+, >50K,,,,
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Self-emp-not-inc, HS-grad, Craft-repair, White, Male,20-39, <=50K,,,,
50-65, Private, HS-grad, Exec-managerial, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Private, HS-grad, Farming-fishing, White, Male,80+, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Sales, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Sales, White, Female,40-59, <=50K,,,,
65+, Private, HS-grad, Sales, White, Female,20-39, <=50K,,,,
50-65, State-gov, HS-grad, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Sales, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Other-service, White, Female,20-39, <=50K,,,,
17-34, Private, HS-grad, Machine-op-inspct, White, Male,20-39, <=50K,,,,
35-49, Federal-gov, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
50-65, Local-gov, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Adm-clerical, White, Female,20-39, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Female,20-39, <=50K,,,,
17-34, Private, Masters, Exec-managerial, White, Male,60-79, >50K,,,,
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, Private, Masters, Tech-support, White, Male,40-59, >50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Private, Masters, Exec-managerial, White, Male,60-79, >50K,,,,
35-49, Private, Masters, Other-service, White, Male,40-59, <=50K,,,,
35-49, State-gov, Masters, Prof-specialty, White, Male,40-59, <=50K,,,,
50-65, Local-gov, Masters, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, Private, Masters, Prof-specialty, White, Male,20-39, <=50K,,,,
35-49, State-gov, Masters, Prof-specialty, Black, Female,40-59, >50K,,,,
17-34, State-gov, Masters, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Self-emp-inc, Prof-school, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, Private, Prof-school, Sales, White, Male,40-59, <=50K,,,,
50-65, Self-emp-inc, Prof-school, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, Private, Prof-school, Prof-specialty, White, Female,40-59, >50K,,,,
50-65, Local-gov, Prof-school, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, Black, Male,40-59, >50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
50-65, Private, Some-college, Sales, White, Male,60-79, >50K,,,,
50-65, Private, Some-college, Exec-managerial, White, Male,80+, >50K,,,,
50-65, Private, Some-college, Sales, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Tech-support, White, Male,40-59, >50K,,,,
50-65, Private, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
65+, Self-emp-inc, Some-college, Exec-managerial, White, Male,20-39, >50K,,,,
50-65, Private, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,60-79, <=50K,,,,
50-65, Federal-gov, Some-college, Adm-clerical, White, Male,40-59, >50K,,,,
50-65, Private, Some-college, Prof-specialty, White, Male,40-59, <=50K,,,,
50-65, Private, Some-college, Exec-managerial, White, Male,60-79, >50K,,,,
50-65, Federal-gov, Some-college, Transport-moving, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Tech-support, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Sales, Black, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Private, Some-college, Sales, White, Male,40-59, <=50K,,,,
50-65, Private, Some-college, Tech-support, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Farming-fishing, White, Male,20-39, <=50K,,,,
17-34, Self-emp-not-inc, Some-college, Other-service, White, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Tech-support, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Machine-op-inspct, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Other-service, Asian-Pac-Islander, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Sales, Black, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Protective-serv, Black, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Handlers-cleaners, White, Male,20-39, <=50K,,,,
17-34, State-gov, Some-college, Other-service, White, Male,0-19, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,20-39, >50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Machine-op-inspct, White, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Sales, White, Female,0-19, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,20-39, <=50K,,,,
35-49, Private, Some-college, Sales, Black, Female,40-59, <=50K,,,,
35-49, Self-emp-not-inc, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, Some-college, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Prof-specialty, White, Female,20-39, >50K,,,,
17-34, Local-gov, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Sales, White, Female,20-39, <=50K,,,,
17-34, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, School, Adm-clerical, White, Female,20-39, <=50K,,,,
35-49, Private, School, Other-service, Other, Female,40-59, <=50K,,,,
35-49, Private, School, Exec-managerial, White, Female,20-39, <=50K,,,,
50-65, Private, School, Other-service, White, Female,20-39, <=50K,,,,
50-65, Private, School, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, School, Sales, White, Female,0-19, <=50K,,,,
17-34, Private, School, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Self-emp-not-inc, School, Craft-repair, White, Male,20-39, <=50K,,,,
17-34, Private, School, Priv-house-serv, White, Female,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Female,20-39, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, School, Prof-specialty, White, Female,20-39, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Female,20-39, <=50K,,,,
35-49, Private, School, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, Other, Male,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Self-emp-inc, School, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, School, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, School, Farming-fishing, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, School, Craft-repair, White, Male,40-59, >50K,,,,
50-65, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Tech-support, White, Female,20-39, <=50K,,,,
17-34, Private, Assoc-voc, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Adm-clerical, White, Female,20-39, <=50K,,,,
35-49, Private, Assoc-voc, Exec-managerial, Amer-Indian-Eskimo, Female,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Other-service, White, Female,20-39, <=50K,,,,
50-65, Local-gov, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K,,,,
17-34, Federal-gov, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,20-39, <=50K,,,,
35-49, Private, Bachelors, Sales, Black, Male,40-59, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, Black, Male,40-59, >50K,,,,
35-49, Self-emp-not-inc, Bachelors, Exec-managerial, Other, Male,40-59, >50K,,,,
50-65, Self-emp-inc, Doctorate, Prof-specialty, White, Male,40-59, >50K,,,,
50-65, Private, Doctorate, Prof-specialty, White, Female,60-79, >50K,,,,
35-49, State-gov, Doctorate, Prof-specialty, White, Male,60-79, >50K,,,,
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,60-79, <=50K,,,,
35-49, Private, HS-grad, Transport-moving, Black, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, HS-grad, Exec-managerial, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, HS-grad, Exec-managerial, White, Male,60-79, <=50K,,,,
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Exec-managerial, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,60-79, <=50K,,,,
17-34, Private, HS-grad, Sales, White, Male,40-59, >50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,60-79, <=50K,,,,
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
17-34, Private, HS-grad, Other-service, White, Male,40-59, >50K,,,,
35-49, State-gov, HS-grad, Tech-support, White, Female,40-59, <=50K,,,,
35-49, Local-gov, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, State-gov, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Male,20-39, <=50K,,,,
50-65, Private, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Tech-support, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,0-19, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
65+, Self-emp-inc, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
65+, Local-gov, Masters, Prof-specialty, White, Male,0-19, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Male,20-39, >50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Self-emp-inc, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, State-gov, Masters, Prof-specialty, White, Male,40-59, <=50K,,,,
50-65, Local-gov, Masters, Prof-specialty, White, Female,20-39, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, Black, Female,40-59, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Female,60-79, <=50K,,,,
35-49, Private, Prof-school, Prof-specialty, White, Male,40-59, >50K,,,,
50-65, State-gov, Prof-school, Prof-specialty, White, Male,40-59, >50K,,,,
50-65, Private, Prof-school, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Private, Prof-school, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, Private, Prof-school, Adm-clerical, Asian-Pac-Islander, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Farming-fishing, Other, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Sales, White, Male,40-59, >50K,,,,
65+, Self-emp-not-inc, Some-college, Craft-repair, White, Male,0-19, >50K,,,,
17-34, State-gov, Some-college, Protective-serv, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Craft-repair, White, Male,60-79, >50K,,,,
17-34, Private, Some-college, Transport-moving, White, Male,60-79, <=50K,,,,
50-65, Self-emp-inc, Some-college, Exec-managerial, White, Male,60-79, >50K,,,,
65+, Self-emp-inc, Some-college, Sales, White, Male,20-39, >50K,,,,
35-49, Private, Some-college, Other-service, White, Male,40-59, >50K,,,,
35-49, Federal-gov, Some-college, Adm-clerical, White, Male,40-59, >50K,,,,
17-34, Self-emp-not-inc, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Federal-gov, Some-college, Exec-managerial, Black, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Machine-op-inspct, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Craft-repair, White, Male,20-39, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Female,40-59, >50K,,,,
50-65, Private, Some-college, Tech-support, White, Female,20-39, <=50K,,,,
35-49, Private, Some-college, Sales, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Tech-support, Asian-Pac-Islander, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, Black, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Handlers-cleaners, White, Male,20-39, <=50K,,,,
35-49, State-gov, Some-college, Other-service, Black, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, White, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Priv-house-serv, White, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, White, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, Some-college, Handlers-cleaners, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Female,20-39, <=50K,,,,
17-34, Self-emp-inc, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
50-65, Private, Some-college, Machine-op-inspct, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Prof-specialty, White, Female,20-39, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
50-65, Private, Some-college, Adm-clerical, White, Female,20-39, >50K,,,,
35-49, Private, School, Sales, White, Male,40-59, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Sales, White, Female,20-39, <=50K,,,,
17-34, Private, School, Sales, White, Male,20-39, <=50K,,,,
35-49, Private, School, Sales, White, Female,40-59, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
17-34, Private, School, Adm-clerical, White, Female,20-39, <=50K,,,,
35-49, Private, School, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,20-39, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Priv-house-serv, White, Female,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Female,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, <=50K,,,,
35-49, Self-emp-inc, School, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, School, Sales, White, Male,40-59, >50K,,,,
50-65, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,40-59, <=50K,,,,
50-65, Self-emp-inc, School, Sales, White, Male,40-59, >50K,,,,
17-34, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, School, Farming-fishing, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Self-emp-not-inc, School, Tech-support, Asian-Pac-Islander, Female,0-19, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Local-gov, Assoc-voc, Tech-support, White, Male,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Prof-specialty, White, Male,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Adm-clerical, Black, Female,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Adm-clerical, Black, Female,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Adm-clerical, White, Female,40-59, >50K,,,,
35-49, Private, Bachelors, Sales, Asian-Pac-Islander, Male,40-59, >50K,,,,
50-65, Self-emp-inc, Bachelors, Sales, Black, Male,40-59, <=50K,,,,
35-49, Federal-gov, Bachelors, Protective-serv, Black, Male,40-59, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, Black, Male,40-59, >50K,,,,
35-49, Private, Bachelors, Prof-specialty, White, Male,40-59, <=50K,,,,
35-49, State-gov, Doctorate, Prof-specialty, White, Male,40-59, >50K,,,,
65+, Private, Doctorate, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Local-gov, Doctorate, Prof-specialty, White, Female,40-59, >50K,,,,
50-65, Private, HS-grad, Prof-specialty, Asian-Pac-Islander, Male,20-39, >50K,,,,
50-65, Self-emp-inc, HS-grad, Prof-specialty, Black, Male,60-79, >50K,,,,
35-49, Self-emp-not-inc, HS-grad, Tech-support, White, Male,20-39, <=50K,,,,
35-49, Self-emp-inc, HS-grad, Exec-managerial, White, Male,40-59, <=50K,,,,
35-49, Federal-gov, HS-grad, Adm-clerical, White, Male,40-59, >50K,,,,
17-34, Private, HS-grad, Prof-specialty, White, Male,40-59, <=50K,,,,
35-49, Self-emp-inc, HS-grad, Farming-fishing, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, State-gov, HS-grad, Tech-support, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, HS-grad, Exec-managerial, White, Male,60-79, >50K,,,,
17-34, Private, HS-grad, Sales, White, Male,40-59, >50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
65+, Private, HS-grad, Other-service, White, Female,20-39, <=50K,,,,
35-49, Self-emp-not-inc, HS-grad, Farming-fishing, White, Female,20-39, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Male,60-79, <=50K,,,,
50-65, Private, HS-grad, Sales, White, Female,20-39, <=50K,,,,
35-49, Private, HS-grad, Transport-moving, White, Male,60-79, <=50K,,,,
17-34, Self-emp-inc, HS-grad, Adm-clerical, White, Male,20-39, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Tech-support, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Local-gov, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Self-emp-inc, HS-grad, Farming-fishing, White, Male,40-59, <=50K,,,,
17-34, State-gov, HS-grad, Prof-specialty, White, Male,40-59, <=50K,,,,
